time,open,high,low,close,Bullish Entry,Bearish Entry,CVD
1770912720,6902,6903.75,6899.25,6903.25,0,0,-163099
1770912780,6903,6903.5,6899.25,6900,0,0,-169512
1770912840,6899.75,6902,6898.5,6901.5,0,0,-162101
1770912900,6901.25,6903,6894.5,6894.75,0,0,-172562
1770912960,6894.75,6895.5,6891.75,6894,0,0,-180370
1770913020,6893.75,6899.25,6893.75,6896.25,0,0,-172607
1770913080,6896.25,6897.5,6889.75,6890,0,0,-180001
1770913140,6890,6894,6889.25,6893.25,0,0,-174335
1770913200,6893.25,6894,6885.5,6885.75,0,0,-183480
1770913260,6885.75,6889,6884,6885,0,0,-191833
1770913320,6885,6887.75,6881.75,6883,0,0,-200754
1770913380,6882.75,6892.75,6882.75,6892.5,0,0,-189171
1770913440,6892.5,6894.75,6887.75,6888,0,0,-199803
1770913500,6888,6889,6882.5,6882.75,0,0,-207572
1770913560,6882.5,6885.5,6881,6882.25,0,0,-215090
1770913620,6882.25,6886.5,6879.5,6886.25,0,0,-204824
1770913680,6886.25,6886.75,6880.5,6881.25,0,0,-212558
1770913740,6881.5,6881.75,6873.5,6874,0,0,-222510
1770913800,6874,6878.5,6873,6876,0,0,-209653
1770913860,6876.25,6879,6873.25,6877.5,0,0,-200929
1770913920,6877.5,6887.25,6877.25,6886,0,0,-187706
1770913980,6886.25,6888.75,6881.25,6883.75,0,0,-198320
1770914040,6883.75,6887.25,6881.5,6883.5,0,0,-205665
1770914100,6883.5,6888.5,6882,6887.5,0,0,-198071
1770914160,6887.75,6896.25,6885,6896,0,0,-188105
1770914220,6896.25,6896.25,6887.75,6893.5,0,0,-196061
1770914280,6893.25,6894.5,6887.25,6890,0,0,-202586
1770914340,6889.75,6894.75,6888.75,6893.75,0,0,-196382
1770914400,6893.75,6896,6890.5,6891.5,0,0,-202730
1770914460,6891.75,6895.5,6890.25,6894.5,0,0,-197480
1770914520,6894.75,6895,6891,6893.25,0,0,-202299
1770914580,6893.5,6896.5,6890,6894.75,0,0,-196043
1770914640,6894.75,6894.75,6885.25,6887.25,0,0,-201821
1770914700,6887.25,6891.5,6886.5,6889.75,0,0,-196544
1770914760,6889.5,6891.5,6880.75,6882,0,0,-202520
1770914820,6882,6887.5,6880.5,6880.5,0,0,-208550
1770914880,6880.75,6882,6878.75,6879.25,0,0,-213164
1770914940,6879.25,6885.25,6878.5,6883.25,0,0,-207741
1770915000,6883.25,6886.5,6880,6881.5,0,0,-212448
